IdRegional;Municipio
141;0 - ALMENDRONAL - VALLE DEL CAUCA
142;0 - ALMIRANTE PADILLA - NARINO
143;0 - ALPUJARRA - NARINO
144;29001 - ALPUJARRA - TOLIMA
145;0 - ALSACIA - CALDAS
146;0 - ALSACIA - CUNDINAMARCA
147;0 - ALTA VISTA - ANTIOQUIA
148;0 - ALTA VISTA EL VERGEL - ANTIOQUIA
149;0 - ALTACLARA - NARINO
150;0 - ALTAFLOR - VALLE DEL CAUCA
151;0 - ALTAGRACIA - CHOCO
152;25001 - ALTAGRACIA - RISARALDA
153;2003 - ALTAMIRA - ANTIOQUIA
154;10002 - ALTAMIRA - CAUCA
155;18004 - ALTAMIRA - HUILA
156;0 - ALTAMIRA - META
157;0 - ALTAMIRA - NARINO
158;0 - ALTAMIRA CRUZ DE ARADA - NARINO
159;21005 - ALTAQUER - NARINO
160;0 - ALTAVISTA - ANTIOQUIA
161;0 - ALTO AGUA CLARA - NARINO
162;0 - ALTO ALEGRIAS - RISARALDA
163;12029 - ALTO BAUDO  (PIE DE PATO) - CHOCO
164;0 - ALTO BONITO - ANTIOQUIA
165;0 - ALTO BONITO - CALDAS
166;0 - ALTO BONITO - VALLE DEL CAUCA
167;0 - ALTO CANADA - NARINO
168;0 - ALTO CASANARE - NARINO
169;25002 - ALTO CAUCA - RISARALDA
170;0 - ALTO CHATO - CHOCO
171;0 - ALTO CRUCES - SANTANDER
172;0 - ALTO DANUBIO - PUTUMAYO
173;0 - ALTO DE ARAUCA - CALDAS
174;0 - ALTO DE CANAS - CUNDINAMARCA
175;0 - ALTO DE CHUARE - CAUCA
176;0 - ALTO DE CORDOBA - CUNDINAMARCA
177;0 - ALTO DE DIEGO - NARINO
178;0 - ALTO DE GUACAS - VALLE DEL CAUCA
179;0 - ALTO DE GUALANDAY - TOLIMA
180;0 - ALTO DE LA CRUZ - CALDAS
181;0 - ALTO DE LA JULIA - VALLE DEL CAUCA
182;0 - ALTO DE LA MINA - ANTIOQUIA
183;0 - ALTO DE LA MINA - CALDAS
184;0 - ALTO DE LA MONTANA - CALDAS
185;0 - ALTO DE LA VUELTA - CESAR
186;0 - ALTO DE LISBOA - CALDAS
187;0 - ALTO DE MAYO - CAUCA
188;0 - ALTO DE MINAS - CESAR
189;0 - ALTO DE MULATOS - ANTIOQUIA
190;0 - ALTO DE NORMANDIA-TRES CRUCES B - VALLE DEL CAUCA
191;0 - ALTO DE PITO - CALDAS
192;0 - ALTO DE SABANAS - ANTIOQUIA
193;0 - ALTO DEL AGUILA - CUNDINAMARCA
194;0 - ALTO DEL CORRAL - ANTIOQUIA
195;0 - ALTO DEL MOLINO - CUNDINAMARCA
196;0 - ALTO DEL NARANJO - CALDAS
197;0 - ALTO DEL ORO - NORTE DE SANTANDER
198;0 - ALTO DEL POZO - NORTE DE SANTANDER
199;10146 - ALTO DEL REY - CAUCA
200;0 - ALTO DEL TRIGO - CUNDINAMARCA
201;0 - ALTO EL PALO - CAUCA
202;0 - ALTO EL ROSARIO - CUNDINAMARCA
203;0 - ALTO GRANDE - CAUCA
204;0 - ALTO GUIANI - META
205;0 - ALTO HIGUERONES - NARINO
206;27009 - ALTO JORDAN - SANTANDER
207;0 - ALTO LEDESMA - NARINO
208;0 - ALTO MUESAS - NARINO
209;0 - ALTO MUNGUIDO - CHOCO
210;0 - ALTO NAYA - CAUCA
211;0 - ALTO PALERMO - CAQUETA
212;0 - ALTO PALMIRA - PUTUMAYO
213;0 - ALTO POMPEYA - META
214;0 - ALTO RIOSUCIO - CHOCO
215;0 - ALTO ROSARIO - NORTE DE SANTANDER
216;0 - ALTO SAN AGUSTIN - NARINO
217;0 - ALTO SAN JOSE - CAUCA
218;0 - ALTO SAN ROQUE - SANTANDER
219;0 - ALTO SATOCA - ARAUCA
220;0 - ALTO SINAI - PUTUMAYO
221;0 - ALTO TABLAZO - CALDAS
222;0 - ALTO TIGRE - VALLE DEL CAUCA
223;0 - ALTO VIENTO - NORTE DE SANTANDER
224;0 - ALTO VILLARAZO - CALDAS
225;0 - ALTO YUCAO - META
226;0 - ALTOS DE JAEN - CALDAS
227;0 - ALTOS DE JULIO - SUCRE
228;0 - ALTOS DE NORMANDIA - VALLE DEL CAUCA
229;0 - ALTOS DEL PEDREGAL - CUNDINAMARCA
230;0 - ALTOS DEL ROSARIO - BOLIVAR
231;5089 - ALTOS DEL ROSARIO- - BOLIVAR
232;29002 - ALVARADO - TOLIMA
233;2004 - AMAGA - ANTIOQUIA
234;30004 - AMAIME - VALLE DEL CAUCA
235;2005 - AMALFI - ANTIOQUIA
236;32013 - AMANAVEN - VICHADA
237;0 - AMARILLO - SANTANDER
238;0 - AMBALEMA - ANTIOQUIA
239;29003 - AMBALEMA - TOLIMA
240;0 - AMBICA - TOLIMA
241;0 - AMBULPI - NARINO
242;0 - AMERICAS - ANTIOQUIA
243;0 - AMESES - TOLIMA
244;0 - AMOYA - TOLIMA
245;0 - AMPARRAIDA - CHOCO
246;30005 - AMPUDIA - VALLE DEL CAUCA
247;0 - ANACARO - VALLE DEL CAUCA
248;18092 - ANACLETO GARCIA - HUILA
249;0 - ANAIME - LA GUAJIRA
250;29004 - ANAIME - TOLIMA
251;14003 - ANAPOIMA - CUNDINAMARCA
252;0 - ANCON - ANTIOQUIA
253;0 - ANCON - BOLIVAR
254;21006 - ANCUYA - NARINO
255;12002 - ANDAGOYA - CHOCO
256;0 - ANDALUCIA - CORDOBA
257;0 - ANDALUCIA - NARINO
258;30006 - ANDALUCIA - VALLE DEL CAUCA
259;2006 - ANDES - ANTIOQUIA
260;0 - ANDES ESTRELLAS - TOLIMA
261;0 - ANDICA - RISARALDA
262;30007 - ANDINAPOLIS - VALLE DEL CAUCA
263;0 - ANGEL MARIA CALDAS - NARINO
264;2007 - ANGELOPOLIS - ANTIOQUIA
265;2008 - ANGOSTURA - ANTIOQUIA
266;0 - ANGOSTURA - CAUCA
267;0 - ANGOSTURA - MAGDALENA
268;0 - ANGOSTURA - SANTANDER
269;0 - ANGOSTURA DE LOS ANDES - SANTANDER
270;0 - ANGOSTURAS - VALLE DEL CAUCA
271;0 - ANGULO - CAUCA
272;12013 - ANIMAS - CHOCO
273;0 - ANIMAS ALTAS - BOLIVAR
274;0 - ANIMAS BAJAS - BOLIVAR
275;14004 - ANOLAIMA - CUNDINAMARCA
276;2009 - ANORI - ANTIOQUIA
277;7004 - ANSERMA - CALDAS
278;30008 - ANSERMANUEVO - VALLE DEL CAUCA
279;11003 - ANTEQUERA - CESAR
280;0 - ANTONIO NARINO - NARINO
281;2011 - ANZA - ANTIOQUIA
282;29005 - ANZOATEGUI - TOLIMA
283;0 - ANZUELO - META
284;0 - APARCO - TOLIMA
285;0 - APART. DE BETULIA - CORDOBA
286;2012 - APARTADO - ANTIOQUIA
287;0 - APARTADO - CHOCO
288;0 - APARTADO BUENA VISTA - CHOCO
289;25003 - APIA - RISARALDA
290;20053 - APIAY - META
291;21007 - APONTE - NARINO
292;0 - APOSENTO ALTO - CUNDINAMARCA
293;14005 - APOSENTOS - CUNDINAMARCA
294;14006 - APULO - CUNDINAMARCA
295;19003 - APURE - MAGDALENA
296;2204 - AQUITANIA - ANTIOQUIA
297;6002 - AQUITANIA - BOYACA
298;0 - ARABIA - ANTIOQUIA
299;25004 - ARABIA - RISARALDA
300;0 - ARACATACA - MAGDALENA
301;19004 - ARACATACA  - MAGDALENA
302;13002 - ARACHE - CORDOBA
303;2013 - ARAGON - ANTIOQUIA
304;0 - ARAGON CJBRE - VALLE DEL CAUCA
305;0 - ARAGUATO - GUAVIARE
306;0 - ARALES - SANTANDER
307;7005 - ARANZAZU - CALDAS
308;0 - ARANZAZU - CAUCA
309;0 - ARARA - AMAZONAS
310;0 - ARARACUARA - CAQUETA
311;0 - ARARCA - BOLIVAR
312;27011 - ARATOCA - SANTANDER
313;3000 - ARAUCA - ARAUCA
314;7006 - ARAUCA - CALDAS
315;0 - ARAUJO - CAUCA
316;0 - ARAUQUITA - ARAUCA
317;3001 - ARAUQUITA  - ARAUCA
318;0 - ARBELA - CAUCA
319;14007 - ARBELAEZ - CUNDINAMARCA
320;0 - ARBOL SOLO - SANTANDER
321;7007 - ARBOLEDA - CALDAS
322;0 - ARBOLEDA - SUCRE
323;21160 - ARBOLEDA  (BERRUECOS) - NARINO
324;10003 - ARBOLEDAS - CAUCA
325;22006 - ARBOLEDAS - NORTE DE SANTANDER
326;0 - ARBOLEDAS - VALLE DEL CAUCA
327;2014 - ARBOLETES - ANTIOQUIA
328;6003 - ARCABUCO - BOYACA
329;0 - ARCHIDUQUE - NARINO
330;0 - ARCHIPIELAGO DE SAN BERNARDO - BOLIVAR
331;16029 - AREMASAHIN - LA GUAJIRA
332;0 - ARENAL - BOLIVAR
333;0 - ARENAL - CHOCO
334;0 - ARENAL - CORDOBA
335;0 - ARENAL - NARINO
336;5082 - ARENAL  - BOLIVAR
337;0 - ARENALES - META
338;0 - ARENALES - SANTANDER
339;0 - ARENAS - BOLIVAR
340;0 - ARENAS BLANCAS - ANTIOQUIA
